Nama PT,Prodies
Akademi Keperawatan Binalita Sudama,Keperawatan (D3)
Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat,Ekonomi Syariah (S1)
Akademi Kebidanan Dayang Suri,Kebidanan (D3)
Sekolah Tinggi Ilmu Administrasi Aan,Administrasi Negara (D3)
Sekolah Tinggi Ilmu Administrasi Aan,Administrasi Publik (D3)
Sekolah Tinggi Ilmu Administrasi Aan,Administrasi Publik (S1)
Sekolah Tinggi Ilmu Administrasi Aan,Ilmu Administrasi Negara (S1)
Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Ekonomi Syariah (S1)
Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Manajemen Pendidikan Islam (S1)
Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Perbankan Syariah (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Aqidah dan Filsafat Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Arsitektur (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Bahasa dan Sastra Arab (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Bimbingan dan Konseling Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Bimbingan Konseling (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Biologi (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ekonomi Syariah (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ekonomi Syariah (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Filsafat Agama (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Fiqh Modern (Hukum Islam) (S3)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Hukum Ekonomi Syari'ah (Muamalah) (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Hukum Keluarga (Ahwal Al-syakhshiyyah) (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Hukum Keluarga (Akhwal Syahsiyyah) (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Hukum Pidana Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Hukum Tata Negara (Siyasah) (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Administrasi Negara (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Agama Islam (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Al-Qur`an dan Tafsir (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Al-Qur`an dan Tafsir (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Ekonomi (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Hadis (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Hukum (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Perpustakaan (D3)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Perpustakaan (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Ilmu Politik (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Kesejahteraan Sosial (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Kimia (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Komunikasi dan Penyiaran Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Komunikasi dan Penyiaran Islam (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Manajemen Bisnis Syariah (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Manajemen Dakwah (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Manajemen Pendidikan Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Bahasa Inggris (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Agama Islam (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Agama Islam (S3)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Agama Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Bahasa Arab (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Bahasa Arab (S2)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Biologi (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Fisika (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Guru Madrasah Ibtidaiyah (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Islam Anak Usia Dini (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Kimia (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Matematika (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Profesi Guru (Profesi)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Teknik Elektro (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Teknologi Informasi (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pengembangan Masyarakat Islam (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Perbandingan Mazhab dan Hukum (S1)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Perbankan Syariah (D3)
Universitas Islam Negeri Ar-Raniry Banda Aceh,Perbankan Syariah (S1)
